id,height,location_name,mountain_range
157,686,Cieńków - wyciąg ,1
158,430,Cieplice Zdrój ,3
159,270,Ciepłowody ,3
160,910,Čierna voda ,0
161,360,Cierniowa Kopa ,3
162,270,Ciężkowice ,2
163,325,cis Bolko ,3
164,560,Cisna ,2
165,805,Cisowa Prz. ,1
166,685,Cisowa Skała ,1
167,565,Cubla Góra ,1
168,857,Cupel ,1
169,1072,Ćwilin  ,1
170,1298,Cyl Hali Śmietanowej  ,1
171,260,Czaple ,3
172,1350,Czarna Przełęcz ,3
173,360,Czarne ,3
174,480,Czarny Bór ,3
175,673,Czarny Dział ,1
176,1624,Czarny Staw Gąsienicowy  ,0
177,1580,Czarny Staw nad Morskim Okiem  ,0
178,286,Czartak ,1
179,463,Czartowska Skała ,3
180,290,Czasław-Wżary ,1
181,230,Czchów ,1
182,538,Czeremcha ,2
183,1124,Czeremcha ,1
184,912,Czeremin ,2
185,1062,Czerniawa Sucha  ,1
186,540,Czerniawa Zdrój ,3
187,310,Czernica ,3
188,1084,Czernica ,3
189,400,Czernichów ,1
190,1067,Czerteż ,2
191,777,Czertezik  ,1
192,400,Czerwieńczyce ,3
193,240,Czerwieniec ,3
194,898,Czerwienne - Nabudza ,0
195,1301,Czerwona Przełęcz  ,0
196,560,Czerwona Skała ,3
197,449,Czerwone Wzgórze ,3
198,1656,Czerwony Staw w Dolinie Pańszczycy ,0
199,1405,Czeska Budka ,3
200,634,Czorsztyn - pawilon PPN ,1
201,588,Czorsztyn - zamek ,1
202,230,Czudec ,2
203,710,Czułów Groń ,1
204,934,Czupel ,1
205,433,Dańczów ,3
206,520,Darnków ,3
207,220,Dębno ,1
208,334,Dębowe Wzgórza ,3
209,379,Dębowiec ,3
210,588,Diabli Kamień ,1
211,440,Diabli Kamień - skrz. szlaków  ,2
212,378,Dlugopole-Zdrój ,3
213,612,Długosz ,3
214,444,Długota ,3
215,240,Dobczyce ,1
216,479,Dobka ,1
217,481,Dobra PKP ,1
218,430,Dol. Bystrego Potoku ,3
219,1092,Dolina Białego ,0
220,650,Dolina Czarnego Potoku ,1
221,962,Dolina Filipka ,0
222,570,Dolina Janówki ,3
223,1280,Dolina Jarząbcza ,0
224,1010,Dolina ku Dziurze ,0
225,1000,Dolina za Bramką ,0
226,1785,Dolina za Mnichem  ,0
227,2130,Dolinka pod Sedielkom / Dolinka Lodowa ,0
228,530,Dołżyca ,2
229,530,Dołżyca ,2
